show_id,type,title,director,cast,country,date_added,release_year,rating,duration,genres,language,description,popularity,vote_count,vote_average,budget,revenue
23483,Movie,Kick-Ass,Matthew Vaughn,"Aaron Taylor-Johnson, Chloë Grace Moretz, Nicolas Cage, Lyndsy Fonseca, Mark Strong","United Kingdom, United States of America",2010-03-26,2010,7.122,,"Action, Crime",en,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so.",45.668,11730,7.122,28000000,96188903
20526,Movie,TRON: Legacy,Joseph Kosinski,"Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner, James Frain",United States of America,2010-12-14,2010,6.5,,"Adventure, Action, Science Fiction",en,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",44.783,7236,6.5,170000000,400062763
52629,Movie,El Infierno,Luis Estrada,"Damián Alcázar, Joaquín Cosío, Ernesto Gómez Cruz, María Rojo, Elizabeth Cervantes",Mexico,2010-09-03,2010,7.9,,"Action, Crime, Western, Comedy, Drama",es,"After being deported back to Mexico, a man has no choice but to join the vicious drug cartel that has corrupted his hometown in order to survive.",43.812,691,7.9,0,6703873
26389,Movie,From Paris with Love,Pierre Morel,"John Travolta, Jonathan Rhys Meyers, Kasia Smutniak, Richard Durden, Bing Yin","United Kingdom, France",2010-02-04,2010,6.27,,"Action, Crime, Thriller",en,"James Reese has a good job as an ambassador's aid in France, but his real passion is a side gig—working in a minor role in the CIA. He would love to be a full-fledged agent and can't believe his luck when he lands an assignment with Charlie Wax. Trigger-happy Charlie soon has James crying for his desk job, but when he learns that the same guys they're trying to catch are after him, James realises that Charlie may be his only hope of survival.",43.037,2043,6.27,52000000,52800000
10196,Movie,The Last Airbender,M. Night Shyamalan,"Noah Ringer, Dev Patel, Nicola Peltz Beckham, Jackson Rathbone, Shaun Toub",United States of America,2010-06-30,2010,4.6,,"Action, Adventure, Fantasy",en,"The story follows the adventures of Aang, a young successor to a long line of Avatars, who must put his childhood ways aside and stop the Fire Nation from enslaving the Water, Earth and Air nations.",42.597,4004,4.6,150000000,319713881
27581,Movie,The Other Guys,Adam McKay,"Will Ferrell, Mark Wahlberg, Eva Mendes, Michael Keaton, Steve Coogan",United States of America,2010-08-06,2010,6.3,,"Action, Comedy, Crime, Thriller",en,"Unlike their heroic counterparts on the force, desk-bound NYPD detectives Gamble and Hoitz garner no headlines as they work day to day. When a seemingly minor case turns out to be a big deal, the two cops get the opportunity to finally prove to their comrades that they have the right stuff.",40.669,4234,6.3,100000000,170432927
47931,Movie,Elite Squad: The Enemy Within,José Padilha,"Wagner Moura, Irandhir Santos, André Ramiro, Pedro Van-Held, Maria Ribeiro",Brazil,2010-10-08,2010,7.811,,"Drama, Action, Crime",pt,"After a bloody invasion of the BOPE in the High-Security Penitentiary Bangu 1 in Rio de Janeiro to control a rebellion of interns, the Lieutenant-Colonel Roberto Nascimento and the second in command Captain André Matias are accused by the Human Right Aids member Diogo Fraga of execution of prisoners. Matias is transferred to the corrupted Military Police and Nascimento is exonerated from the BOPE by the Governor.",40.66,1879,7.811,0,63027681
9543,Movie,Prince of Persia: The Sands of Time,Mike Newell,"Jake Gyllenhaal, Gemma Arterton, Ben Kingsley, Alfred Molina, Steve Toussaint",United States of America,2010-05-19,2010,6.3,,"Adventure, Fantasy, Action",en,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",39.509,6807,6.3,200000000,336365676
22538,Movie,Scott Pilgrim vs. the World,Edgar Wright,"Michael Cera, Mary Elizabeth Winstead, Ellen Wong, Kieran Culkin, Alison Pill","Japan, United Kingdom, United States of America",2010-08-12,2010,7.491,,"Action, Comedy, Romance",en,"As bass guitarist for a garage-rock band, Scott Pilgrim has never had trouble getting a girlfriend; usually, the problem is getting rid of them. But when Ramona Flowers skates into his heart, he finds she has the most troublesome baggage of all: an army of ex-boyfriends who will stop at nothing to eliminate him from her list of suitors.",39.321,7985,7.491,85000000,51691156
22894,Movie,Legion,Scott Stewart,"Paul Bettany, Dennis Quaid, Lucas Black, Kate Walsh, Tyrese Gibson",United States of America,2010-01-21,2010,5.9,,"Horror, Action, Fantasy",en,"When God loses faith in humankind, he sends his legion of angels to bring on the Apocalypse. Humanity's only hope for survival lies in a group of strangers trapped in an out-of-the-way, desert diner with the Archangel Michael.",38.772,2656,5.9,26000000,67900000
51608,Movie,The Man from Nowhere,Lee Jeong-beom,"Won Bin, Kim Sae-ron, Kim Tae-hun, Kim Hee-won, Kim Seung-o",South Korea,2010-08-04,2010,7.7,,"Action, Thriller, Crime",ko,An ex-special agent is involved in a convoluted drug ring drama. He has to save a drug smuggler's innocent daughter from being the victim of her parents' fight.,38.694,1348,7.7,1255000,43059790
43947,Movie,I Spit on Your Grave,Steven R. Monroe,"Sarah Butler, Jeff Branson, Tracey Walter, Andrew Howard, Chad Lindberg",United States of America,2010-06-17,2010,6.5,,"Thriller, Crime, Horror",en,"A beautiful woman from the city, Jennifer Hills, rents an isolated cabin in the country to write her latest novel. Soon, a group of local lowlifes subject her to a nightmare of degradation, rape, and violence.",38.125,2344,6.5,2000000,572809
44115,Movie,127 Hours,Danny Boyle,"James Franco, Kate Mara, Amber Tamblyn, Clémence Poésy, Lizzy Caplan","France, United Kingdom, United States of America",2010-11-12,2010,7.1,,"Adventure, Drama, Thriller",en,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,37.971,7606,7.1,18000000,35700000
39514,Movie,RED,Robert Schwentke,"Bruce Willis, John Malkovich, Morgan Freeman, Helen Mirren, Mary-Louise Parker",United States of America,2010-10-13,2010,6.7,,"Action, Adventure, Comedy, Crime, Thriller",en,"After surviving an assault from a squad of hit men, retired CIA black ops agent Frank Moses reassembles his old team for an all-out war. Frank reunites with old Joe, crazy Marvin and wily Victoria to uncover a massive conspiracy that threatens their lives. Only their expert training will allow them to survive a near-impossible mission -- breaking into CIA headquarters.",36.185,6751,6.7,58000000,199006387
573531,Movie,Halo Legends,"Hideki Futamura, Tomoki Kyoda, Koichi Mashimo, Yasushi Muraki, Daisuke Nishio, Koji Sawai, Hiroshi Yamazaki, Takahiro Tanaka, Hiroyuki Kawasaki, Megumi Shimizu, Keiichi Sugiyama, Shinji Aramaki, Toshiyuki Kanno, Mamoru Oshii","Luci Christian, David Wald, Emily Neves, Shelley Calene-Black, Jessie James Grelle","Germany, Japan, United States of America",2010-02-16,2010,7.3,,"Animation, War, Action, Science Fiction",en,The universe of the Halo video game series is expanded in seven short animated films from Japan's greatest anime directors and studios.,36.147,161,7.3,0,11000000
35552,Movie,The Extraordinary Adventures of Adèle Blanc-Sec,Luc Besson,"Louise Bourgoin, Mathieu Amalric, Gilles Lellouche, Jean-Paul Rouve, Jacky Nercessian",France,2010-04-09,2010,6.2,,"Fantasy, Adventure, Action, Mystery",fr,"An adventure set in the early part of the 20th century, focused on a popular novelist and her dealings with would-be suitors, the cops, monsters, and other distractions.",35.816,1368,6.2,25000000,34604339
27576,Movie,Salt,Phillip Noyce,"Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski, August Diehl",United States of America,2010-07-21,2010,6.4,,"Action, Mystery, Thriller",en,"As a CIA officer, Evelyn Salt swore an oath to duty, honor and country. Her loyalty will be tested when a Russian defector accuses her of being a Russian sleeper spy. She goes on the run, using all her skills and years of experience as a covert operative to elude capture, protect her husband, and stay one step ahead of her colleagues at the CIA. Her efforts to prove her innocence only serve to cast doubt on her motives, as the hunt to uncover the truth behind her identity continues and the question remains: ""Who is Salt?""",35.711,5537,6.4,110000000,293329073
46738,Movie,Incendies,Denis Villeneuve,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette, Rémy Girard, Allen Altman","Canada, France",2010-09-17,2010,8.1,,"Drama, War, Mystery",fr,"A mother's last wishes send twins Jeanne and Simon on a journey to Middle East in search of their tangled roots. Adapted from Wajdi Mouawad's acclaimed play, Incendies tells the powerful and moving tale of two young adults' voyage to the core of deep-rooted hatred, never-ending wars and enduring love.",35.555,2830,8.1,6800000,6788659
44918,Movie,Titanic II,Shane van Dyke,"Shane van Dyke, Marie Westbrook, Bruce Davison, Brooke Burns, Michelle Glavan",United States of America,2010-08-07,2010,5.0,,"Action, Thriller, Romance, Adventure",en,"On the 100th anniversary of the original voyage, a modern luxury liner christened ""Titanic 2,"" follows the path of its namesake. But when a tsunami hurls an ice berg into the new ship's path, the passengers and crew must fight to avoid a similar fate.",35.09,424,5.0,0,0
43949,Movie,Flipped,Rob Reiner,"Madeline Carroll, Callan McAuliffe, Rebecca De Mornay, Anthony Edwards, John Mahoney",United States of America,2010-08-06,2010,8.016,,"Romance, Drama",en,"When Juli meets Bryce in the second grade, she knows it's true love. After spending six years trying to convince Bryce the same, she's ready to give up - until he starts to reconsider.",34.886,3062,8.016,14000000,4324817
43347,Movie,Love & Other Drugs,Edward Zwick,"Jake Gyllenhaal, Anne Hathaway, Oliver Platt, Hank Azaria, Josh Gad",United States of America,2010-11-04,2010,7.0,,"Drama, Comedy, Romance",en,"Maggie is an alluring free spirit who won't let anyone – or anything – tie her down. But she meets her match in Jamie, whose relentless and nearly infallible charm serves him well with the ladies and the cutthroat world of pharmaceutical sales. Maggie and Jamie's evolving relationship takes them both by surprise, as they find themselves under the influence of the ultimate drug: love.",34.685,5196,7.0,30000000,102800000
35019,Movie,Nanny McPhee and the Big Bang,Susanna White,"Emma Thompson, Asa Butterfield, Ralph Fiennes, Maggie Gyllenhaal, Maggie Smith","United States of America, United Kingdom, France",2010-03-26,2010,6.3,,"Comedy, Fantasy, Family",en,"Nanny McPhee appears at the door of a harried young mother who is trying to run the family farm while her husband is away at war. But once she’s arrived, Nanny discovers that the children are fighting a war of their own against two spoiled city cousins who have just moved in. Relying on everything from a flying motorcycle and a statue that comes to life to a tree-climbing piglet and a baby elephant, Nanny uses her magic to teach her mischievous charges five new lessons.",34.409,1847,6.3,35000000,93251121
43593,Movie,Piranha 3D,Alexandre Aja,"Elisabeth Shue, Jerry O'Connell, Steven R. McQueen, Jessica Szohr, Kelly Brook",United States of America,2010-08-20,2010,5.4,,"Comedy, Horror",en,"Each year the population of sleepy Lake Victoria, Arizona explodes from 5,000 to 50,000 residents for the annual Spring Break celebration. But then, an earthquake opens an underwater chasm, releasing an enormous swarm of ancient Piranha that have been dormant for thousands of years, now with a taste for human flesh. This year, there's something more to worry about than the usual hangovers and complaints from locals, a new type of terror is about to be cut loose on Lake Victoria.",34.009,2238,5.4,24000000,83188165
44683,Movie,Tinker Bell and the Great Fairy Rescue,Bradley Raymond,"Mae Whitman, Lauren Mote, Michael Sheen, Pamela Adlon, Lucy Liu","India, United States of America",2010-07-29,2010,6.7,,"Animation, Adventure, Family, Fantasy",en,"During a summer stay on the mainland, Tinker Bell is accidentally discovered while investigating a little girl's fairy house. As the other fairies, led by the brash Vidia, launch a daring rescue in the middle of a fierce storm, Tink develops a special bond with the lonely, little girl.",33.522,945,6.7,0,0
20504,Movie,The Book of Eli,"Albert Hughes, Allen Hughes","Denzel Washington, Gary Oldman, Mila Kunis, Ray Stevenson, Jennifer Beals",United States of America,2010-01-14,2010,6.8,,"Action, Thriller, Science Fiction",en,"A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.",33.361,6182,6.8,80000000,157107755
7978,Movie,The Wolfman,Joe Johnston,"Benicio del Toro, Anthony Hopkins, Emily Blunt, Hugo Weaving, Geraldine Chaplin",United States of America,2010-02-10,2010,5.9,,"Horror, Thriller",en,"Lawrence Talbot, an American man on a visit to Victorian London to make amends with his estranged father, gets bitten by a werewolf and, after a moonlight transformation, leaves him with a savage hunger for flesh.",33.064,2014,5.9,150000000,140700000
48466,Movie,Scared Shrekless,Gary Trousdale,"Mike Myers, Cameron Diaz, Antonio Banderas, Dean Edwards, Conrad Vernon",United States of America,2010-10-28,2010,6.7,,"Animation, Comedy, Family",en,"Shrek challenges Donkey, Puss in Boots and his other fairy tale character friends to spend the night in Lord Farquaad's haunted castle, telling scary stories to see who can resist becoming scared and stay the longest.",32.983,469,6.7,0,0
34544,Movie,The A-Team,Joe Carnahan,"Liam Neeson, Bradley Cooper, Jessica Biel, Quinton 'Rampage' Jackson, Sharlto Copley","United Kingdom, United States of America",2010-06-09,2010,6.397,,"Action, Comedy, Crime",en,"A man who loves when a plan comes together, Col. Hannibal Smith leads a close-knit team of elite operatives and Iraq War veterans. Framed for a crime they didn't commit, Smith and his men, Capt. H.M. ‘Howling Mad’ Murdock , Sgt. Bosco ‘B.A.’ Baracus, and Lt. Templeton ‘Faceman’ Peck, break out and go rogue, using their special talents to clear their names and find the perpetrator. Hot on their trail is Capt. Charissa Sosa, who was once involved with a member of Smith's team and has sworn to capture them, no matter what it takes.",32.716,4671,6.397,110000000,177238796
38167,Movie,Eat Pray Love,Ryan Murphy,"Julia Roberts, Javier Bardem, James Franco, Billy Crudup, Richard Jenkins",United States of America,2010-08-12,2010,6.241,,"Drama, Romance",en,"Liz Gilbert had everything a modern woman is supposed to dream of having – a husband, a house and a successful career – yet like so many others, she found herself lost, confused and searching for what she really wanted in life. Newly divorced and at a crossroads, Gilbert steps out of her comfort zone, risking everything to change her life, embarking on a journey around the world that becomes a quest for self-discovery. In her travels, she discovers the true pleasure of nourishment by eating in Italy, the power of prayer in India and, finally and unexpectedly, the inner peace and balance of true love in Bali.",32.264,2453,6.241,60000000,204594016
72641,Movie,Azureus Rising,David Weinstein,,,2010-04-06,2010,6.2,,"Science Fiction, Animation",en,"Azureus Rising is a proof of concept for a science fiction action adventure feature film saga and next-gen video game. The 6 minute proof of concept short film has been featured on hundreds of blogs & websites around the world. Since its premier on youtube.com on May 17th, 2010, Azureus has received more than half a million hits and counting. Azureus Rising has also won 8 awards to date, including: Best Animated Film, Best Director, Best Visuals, Best Sound FXs and Best Original Score. Currently, Azureus is in development as a major motion picture and AAA video game title.",31.997,12,6.2,0,0
26022,Movie,My Name Is Khan,Karan Johar,"Shah Rukh Khan, Kajol, Arjan Aujla, Jimmy Shergill, Sonya Jehan","China, India, United Arab Emirates, United States of America",2010-02-10,2010,8.0,,"Drama, Romance",hi,"Rizwan Khan, a Muslim from the Borivali section of Mumbai, has Asperger's syndrome. He marries a Hindu single mother, Mandira, in San Francisco. After 9/11, Rizwan is detained by authorities at LAX who treat him as a terrorist because of his condition and his race.",31.503,1333,8.0,12000000,42345360
50723,Movie,Naruto Shippuden the Movie: The Lost Tower,Masahiko Murata,"Junko Takeuchi, Kazuhiko Inoue, Toshiyuki Morikawa, Chie Nakamura, Satoshi Hino",Japan,2010-07-31,2010,7.1,,"Adventure, Action, Animation",ja,"Assigned on a mission to capture Mukade, a missing-nin, Naruto Uzumaki sets out for the once glorious historic ruins of ""Ouran"", where he pursues and corners the rouge ninja. Mukade's goal is revealed to be a dormant leyline within the ruins; he unleashes the power of the leyline, causing a light to envelop Naruto, sending him into the past, 20 years before the series began. When Naruto awakens, he comes into contact with the Fourth Hokage, Minato Namikaze.",31.444,473,7.1,0,16537336
